	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
100	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	500.0	100.0
101	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	500.0	100.0
102	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662748	4.575152862158565	0.0	500.0	200.0
103	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	500.0	200.0
104	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.23472241526627474	4.575152862158565	0.0	500.0	200.0
105	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	500.0	500.0
106	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	500.0	500.0
107	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	500.0	500.0
108	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	1000.0	50.0
109	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	1000.0	50.0
110	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	1000.0	50.0
111	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	1000.0	100.0
112	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558237	0.0	1000.0	100.0
113	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	1000.0	100.0
114	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662748	4.575152862158565	0.0	1000.0	200.0
115	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	1000.0	200.0
116	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	1000.0	200.0
117	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	1000.0	500.0
